Equipment Condition,Number of Equipment,Equipment Service Time,Materials Quantity,Materials Transport Environment,Materials Procurement,Worker Capability,Worker Sense of Responsibility,Worker Health,Worker Experience,Worker Education,Worker Training,Worker Expertise,Worker Motivation,Worker Attitude,Work Space,Prefabrication,Working Field Accessibility,Advance Work,Work Method,Work Environment,Crew Composition,Work Difficulty,Work Quantity,Manager Capability,Management System,Construction Plan,Design Documents,Permission,Work Order,Claim,Safety/Accidents,Work Delay,Rework,Work Continuity,Information Technology,Productivity,Productivity
1,4,4,3,2,4,4,2,2,4,3,1,5,1,2,3,1,1,2,5,5,1,5,1,3,5,2,2,2,1,3,3,2,2,4,1,38.969,38.969
1,5,5,1,3,1,1,1,1,5,1,4,3,5,5,1,1,4,5,4,2,3,1,1,3,1,5,5,1,5,1,2,3,5,2,5,40.488,40.488
2,2,2,5,2,5,5,1,4,5,1,2,3,1,2,4,3,3,1,4,3,3,4,1,2,2,2,4,4,1,1,3,2,1,4,4,39.795,39.795
1,2,1,1,3,3,4,5,1,3,3,3,1,4,4,1,4,5,5,5,2,4,2,1,3,4,4,1,5,1,4,4,2,1,4,2,41.334,41.334
2,4,4,2,2,1,5,2,2,3,4,1,5,3,5,3,3,2,1,1,1,1,3,4,1,5,4,4,3,4,1,5,1,1,5,1,39.117,39.117
3,1,3,1,5,2,5,1,4,4,4,3,5,2,3,1,5,2,3,3,5,5,1,5,1,5,3,4,2,3,3,1,1,2,1,5,42.893,42.893
2,5,5,3,5,4,5,4,5,1,2,4,5,5,1,3,2,5,4,4,1,2,4,2,2,2,3,5,5,3,1,1,3,4,4,5,47.039,47.039
1,3,2,3,4,5,2,4,2,2,1,1,5,4,4,2,3,5,4,5,4,3,2,1,2,4,4,3,5,4,1,1,4,3,1,1,41.131,41.131
3,3,3,5,5,3,1,3,5,3,3,1,1,2,1,3,5,5,3,5,5,4,2,5,1,3,3,2,2,3,1,1,3,4,2,1,41.772,41.772
1,4,2,2,2,3,1,2,4,4,2,4,2,5,2,1,1,5,2,5,4,5,4,2,5,4,5,1,4,4,3,1,5,5,3,4,45.861,45.861
1,4,5,4,2,5,5,4,4,4,2,1,1,3,5,3,2,2,4,3,5,3,1,1,5,3,5,4,3,1,3,4,3,3,4,4,46.164,46.164
5,4,4,1,4,5,2,5,2,5,2,2,2,3,3,5,4,1,2,4,5,2,5,2,5,3,1,4,2,3,3,5,1,2,5,4,47.58,47.58
1,2,2,3,3,5,3,3,1,1,2,1,5,4,5,2,1,1,2,1,1,4,5,1,2,4,4,1,3,5,3,1,1,4,4,1,36.384,36.384
1,5,3,5,1,1,4,5,5,2,2,2,4,1,4,1,3,5,2,3,4,1,1,4,1,3,5,5,5,4,2,4,1,3,3,4,42.824,42.824
5,4,2,5,4,5,2,4,5,4,3,1,4,5,1,4,2,2,1,3,1,5,2,5,2,4,1,4,1,3,1,3,4,1,4,2,43.069,43.069
1,1,5,5,5,5,5,2,3,5,2,5,2,1,3,5,4,2,1,4,5,2,4,3,1,1,4,5,5,5,3,1,3,1,5,5,47.776,47.776
4,2,1,5,1,2,5,4,1,4,2,3,2,2,4,1,1,5,1,2,3,3,2,5,2,4,4,2,3,2,3,1,4,2,3,3,38.995,38.995
2,3,5,3,3,4,3,4,1,2,2,4,2,1,3,1,2,4,1,2,5,1,4,4,2,2,5,1,5,1,4,1,1,1,5,1,37.183,37.183
5,2,4,4,3,2,2,1,3,5,4,4,3,3,5,3,2,4,2,3,5,2,1,4,3,4,3,5,5,3,4,3,5,1,5,2,47.025,47.025
3,5,3,1,2,3,1,5,2,3,1,1,3,4,4,1,3,1,2,1,5,1,2,2,2,2,2,4,4,1,4,4,4,5,2,3,38.211,38.211
3,3,5,2,3,5,4,2,1,5,2,4,3,5,1,4,1,1,4,4,2,2,2,2,3,2,3,2,2,1,5,2,4,5,1,5,41.938,41.938
1,1,2,5,1,5,1,4,3,3,5,3,1,5,5,4,4,3,4,5,4,2,5,1,1,1,4,1,1,3,1,1,5,2,1,4,41.181,41.181
4,3,2,2,3,1,2,1,2,5,2,4,1,4,5,1,1,4,5,2,1,5,5,2,1,4,2,4,5,1,4,2,4,1,2,3,39.77,39.77
1,2,1,1,4,4,4,4,5,3,5,1,2,3,4,3,5,5,5,1,2,2,5,5,5,4,2,3,1,4,2,4,3,2,2,5,45.795,45.795
5,5,3,5,1,3,5,3,3,3,2,5,2,1,5,5,1,4,1,1,2,4,3,1,4,1,2,5,3,2,3,3,5,2,5,3,43.825,43.825
1,2,3,3,5,2,4,3,2,1,3,5,1,3,5,3,2,1,2,4,5,3,5,5,5,5,5,3,3,5,5,1,1,5,4,3,47.441,47.441
3,5,5,5,3,4,3,1,4,2,3,4,5,1,1,4,3,2,5,3,5,1,4,1,1,1,4,3,4,2,1,5,2,5,1,3,42.655,42.655
4,4,2,2,3,3,4,1,4,5,2,1,4,4,1,1,5,5,3,2,3,3,1,4,2,4,2,2,4,3,2,1,4,3,1,5,41.318,41.318
1,4,1,2,4,5,3,2,2,2,4,3,2,4,1,3,1,5,3,3,5,1,4,4,5,3,1,4,2,2,2,3,4,2,2,4,41.338,41.338
5,2,3,5,1,1,3,1,2,5,5,5,3,3,3,2,4,4,4,2,2,4,4,1,2,1,3,3,2,4,5,3,2,4,1,3,42.11,42.11
3,3,5,1,3,4,4,1,5,4,3,4,4,2,2,4,2,4,4,1,3,2,3,5,1,5,5,4,3,1,3,3,3,3,5,4,46.478,46.478
4,5,1,5,3,2,3,1,2,4,4,5,1,1,3,1,4,2,2,4,3,5,3,2,4,2,4,2,4,2,2,1,1,2,4,1,39.079,39.079
4,2,2,1,1,3,2,2,5,3,2,4,1,5,3,2,4,2,5,2,2,2,1,3,2,1,2,4,5,2,2,4,5,4,2,4,39.421,39.421
1,2,3,5,2,5,1,3,1,4,2,4,2,1,3,5,2,3,3,3,5,5,5,1,2,5,2,4,1,4,4,5,2,3,4,2,44.889,44.889
4,2,2,2,1,3,2,5,3,1,5,4,2,1,5,3,5,5,1,5,5,1,2,1,3,5,4,5,4,5,3,5,3,1,4,3,46.057,46.057
3,3,2,5,5,2,4,3,4,5,2,5,2,3,4,5,3,3,3,3,5,1,1,1,2,5,2,2,1,4,3,2,4,1,1,1,40.735,40.735
5,4,2,5,4,1,5,5,2,3,5,1,4,5,2,4,4,4,3,2,5,5,1,1,5,1,4,2,3,3,4,4,4,5,3,3,48.783,48.783
1,5,1,1,5,1,2,1,4,2,2,4,2,5,2,1,5,2,4,4,2,2,1,1,4,5,3,3,3,5,4,2,2,1,5,4,40.294,40.294
4,5,2,4,1,5,3,3,5,5,1,1,4,4,4,1,3,2,2,5,2,3,4,4,4,5,3,5,5,4,2,3,4,1,4,1,46.398,46.398
3,1,5,5,1,4,2,1,3,5,5,4,5,3,2,3,3,1,5,1,4,1,3,1,5,4,3,4,4,1,1,4,3,1,5,3,43.143,43.143
5,4,4,5,4,3,1,2,5,3,4,1,2,1,1,2,3,1,3,3,1,2,3,1,5,1,3,4,1,2,2,4,3,5,3,2,38.545,38.545
2,1,1,4,5,5,4,3,1,1,3,1,1,1,3,1,4,4,4,4,3,5,4,5,3,3,5,3,4,3,5,4,2,5,4,1,44.997,44.997
5,3,1,2,2,3,1,4,1,5,4,1,5,3,3,5,2,1,4,3,2,3,3,3,3,1,2,1,4,1,4,3,1,2,3,5,40.653,40.653
3,3,1,4,4,1,1,5,2,5,4,4,3,4,3,1,4,3,5,2,4,3,3,5,3,4,3,4,3,2,3,1,3,2,1,4,43.702,43.702
5,4,3,3,2,1,5,4,3,1,4,5,5,2,1,5,5,5,3,2,1,2,3,5,5,1,5,4,5,2,4,3,2,3,1,5,46.815,46.815
2,4,5,5,2,3,2,5,2,3,3,4,4,1,5,3,1,5,3,4,4,1,2,1,3,3,1,2,2,5,4,4,4,1,5,4,44.533,44.533
2,5,5,4,4,2,3,2,2,4,1,4,1,3,2,4,4,2,2,4,4,4,5,2,2,5,4,2,1,2,4,5,5,3,2,4,46.585,46.585
2,5,4,1,2,5,3,5,5,3,3,1,5,2,1,4,4,5,3,5,1,5,5,4,2,2,2,3,2,3,2,2,3,3,3,3,45.641,45.641
3,3,2,2,5,5,4,3,2,5,1,1,5,4,3,2,4,4,4,1,5,4,2,2,2,5,5,5,4,3,5,3,5,2,2,4,48.268,48.268
3,2,2,5,2,2,5,1,2,4,4,2,4,5,4,3,2,1,2,5,5,2,3,5,3,2,4,1,3,2,5,4,2,2,5,4,45.596,45.596
2,3,2,2,5,5,3,1,5,5,2,2,3,5,2,2,2,5,4,4,2,2,2,1,4,1,3,2,2,3,2,5,1,1,4,2,39.325,39.325
1,4,4,4,3,5,5,4,1,3,3,3,5,3,1,1,4,2,2,1,5,1,3,5,4,2,5,1,1,5,3,2,4,4,4,1,42.646,42.646
1,5,1,2,1,4,1,5,4,3,2,3,1,1,2,5,5,1,1,1,2,4,2,3,4,1,5,4,5,2,5,3,2,4,2,5,41.738,41.738
1,3,3,3,1,4,5,2,4,3,3,3,1,1,1,1,3,1,2,1,5,3,3,5,3,2,3,3,1,3,3,3,2,4,3,2,37.484,37.484
3,2,4,4,2,3,1,3,1,4,4,4,2,1,3,2,2,5,3,4,1,4,5,1,2,3,1,2,1,2,4,2,5,1,4,1,38.5,38.5
3,4,4,3,5,3,2,4,5,2,4,5,5,5,1,3,5,3,2,1,4,2,2,1,5,4,4,4,2,5,3,2,2,3,4,1,44.975,44.975
4,3,3,5,5,5,2,4,3,4,3,3,5,4,3,4,5,5,4,5,3,5,2,2,3,1,1,5,2,3,5,1,3,2,2,3,48.068,48.068
2,2,5,5,2,3,4,3,2,3,5,2,4,5,2,4,5,2,5,5,5,2,5,5,5,3,2,3,4,4,3,4,4,1,3,4,51.12,51.12
4,1,3,1,2,4,1,2,4,2,3,1,2,2,5,5,1,4,5,2,4,2,1,4,5,5,5,3,1,3,5,5,3,3,3,4,44.541,44.541
2,1,2,3,3,4,4,1,4,4,4,5,3,5,4,5,4,5,2,2,2,3,1,3,4,5,5,5,4,3,3,2,4,5,1,1,46.161,46.161
4,5,1,3,5,1,3,3,3,3,5,2,2,4,2,1,1,5,2,3,1,5,5,2,4,5,3,1,3,4,4,1,5,5,4,3,45.144,45.144
2,3,4,5,2,4,4,1,4,2,3,3,1,4,3,1,2,5,4,1,4,3,4,1,4,2,5,5,2,4,5,4,1,1,4,1,41.576,41.576
5,3,5,4,4,2,2,5,5,5,4,1,5,1,5,5,2,5,1,1,2,5,5,5,3,4,3,4,1,4,1,1,2,2,1,4,46.343,46.343
4,2,1,2,1,2,2,3,1,5,2,1,4,2,2,1,4,2,4,5,3,3,5,5,4,4,4,3,3,1,3,3,4,3,1,1,40.714,40.714
4,1,1,2,5,5,1,5,1,5,5,5,1,2,3,1,3,2,1,3,5,2,4,2,5,5,4,1,5,2,5,3,3,3,5,4,46.111,46.111
3,3,4,3,4,1,3,4,3,1,5,4,2,1,5,2,1,1,1,4,5,4,1,3,3,3,4,1,1,3,1,3,3,2,3,2,38.284,38.284
4,1,2,4,2,5,1,5,2,1,2,1,5,5,4,4,1,5,1,4,4,4,3,2,2,2,5,4,4,2,1,2,2,3,4,3,42.517,42.517
5,1,3,3,4,2,1,5,3,4,2,4,2,5,4,1,2,3,3,1,5,3,4,2,1,1,4,1,2,1,4,3,5,3,2,5,41.333,41.333
2,4,4,2,5,2,3,2,2,2,3,4,5,3,2,1,5,3,5,4,1,1,3,1,4,1,4,1,1,2,1,3,2,5,5,2,39.259,39.259
3,2,5,4,5,2,3,1,3,4,3,1,1,3,3,3,2,4,4,1,1,3,1,3,5,3,5,4,4,5,4,1,1,3,4,3,41.631,41.631
2,1,4,2,4,2,2,3,1,2,5,1,2,3,2,5,5,2,1,1,2,3,4,1,1,1,2,2,1,2,3,3,4,2,5,5,37.888,37.888
1,1,3,4,1,4,1,5,5,2,5,4,2,1,1,4,4,5,5,5,1,1,5,2,5,1,5,5,5,3,5,4,5,5,5,4,50.051,50.051
2,5,1,2,3,2,3,5,1,3,3,2,1,5,1,4,4,3,2,5,3,4,4,1,2,2,3,2,1,1,4,3,1,5,4,3,41.347,41.347
1,2,2,1,2,4,4,2,3,3,1,4,2,2,2,1,1,4,5,5,2,5,3,1,1,5,1,1,5,4,2,1,4,3,2,5,38.951,38.951
2,4,3,5,3,5,4,3,2,4,2,2,3,2,4,1,1,1,4,1,2,1,4,5,5,5,3,2,3,4,1,5,2,2,5,4,43.118,43.118
2,4,1,1,5,4,4,3,4,4,1,2,4,2,3,1,4,4,2,1,1,5,2,3,3,1,1,4,2,2,5,4,3,4,4,3,41.065,41.065
4,4,3,2,4,2,5,4,2,2,2,4,4,3,1,5,1,3,1,1,1,3,1,1,5,3,5,3,5,4,2,3,1,1,5,2,39.594,39.594
2,1,4,1,4,2,1,1,3,4,2,1,2,4,1,3,5,5,3,1,4,3,1,1,1,3,1,1,4,4,5,4,1,5,1,1,35.717,35.717
1,1,4,1,4,5,5,1,2,1,1,4,4,1,5,1,2,1,1,2,1,4,2,1,1,5,4,3,1,1,3,2,4,2,4,4,35.726,35.726
4,3,1,3,4,5,4,2,4,1,2,2,2,5,5,3,3,1,2,3,3,4,1,5,5,5,3,3,4,1,1,3,2,3,3,5,43.917,43.917
4,2,2,3,3,4,2,1,3,1,2,2,1,3,2,5,1,2,1,4,1,3,2,1,3,5,5,3,2,1,3,3,4,5,4,1,37.878,37.878
4,4,4,4,2,3,1,2,3,1,4,4,4,3,2,1,4,3,2,1,5,3,4,5,5,1,3,1,5,2,1,3,1,3,2,1,39.055,39.055
